GH,XGH,GA,XGA,Side
3,1.54,0,0.11,1
0,1.11,1,3.13,0
2,2.18,0,0.10,1
0,0.44,5,3.82,0
0,0.28,0,0.65,0
6,4.93,0,0.45,1
0,0.52,2,2.98,0
3,3.09,0,0.93,1
3,1.88,1,1.30,0
0,2.66,1,1.56,1
1,0.71,2,2.88,0
5,3.12,1,0.11,1
0,1.15,1,1.95,0
5,2.12,1,0.22,1
0,0.11,0,1.87,0
5,2.59,0,0.30,1
1,0.64,0,0.90,0
3,3.73,1,0.88,1
0,0.58,4,2.25,0
0,0.35,6,3.51,0
3,3.12,2,0.96,1
2,1.83,5,4.61,0
5,3.66,0,0.25,1
0,1.22,1,1.64,1
1,1.05,3,3.76,0
6,5.20,1,0.96,1
0,0.71,2,1.89,0
2,2.30,1,1.70,1
0,0.65,1,1.93,0
4,1.72,0,0.27,1
2,1.27,2,1.76,0
2,2.05,0,1.38,1
0,1.00,2,3.50,0
6,2.78,0,0.58,1
0,0.43,8,6.19,0
2,2.18,0,0.23,1
0,0.52,1,1.47,0
2,2.44,2,0.61,1
