GH,XGH,GA,XGA,Side
2,0.61,0,0.38,0
1,0.24,1,0.79,1
1,1.04,1,0.76,0
1,0.90,3,2.64,1
3,1.26,0,0.12,0
0,0.14,0,0.11,1
1,1.46,1,0.38,0
1,0.40,2,1.41,1
1,2.10,1,0.97,1
4,1.77,2,0.79,0
0,1.23,0,0.22,1
2,2.11,2,0.94,0
0,0.54,2,0.84,1
0,0.61,1,1.19,0
0,0.81,0,0.60,1
5,2.59,0,0.30,0
2,0.98,0,0.50,1
0,1.79,1,0.57,0
1,1.11,1,0.29,1
1,1.64,2,2.00,1
1,2.60,0,0.40,0
1,1.03,2,1.37,1
3,2.41,0,0.32,0
1,1.08,2,1.89,1
1,0.58,0,1.14,0
1,1.13,2,0.76,1
2,1.64,0,0.93,0
3,1.48,1,0.66,0
0,0.48,2,1.19,1
1,0.47,1,1.37,0
0,1.00,2,1.18,1
0,2.32,0,0.27,0
0,2.19,1,1.43,1
1,1.17,0,0.22,0
0,0.43,8,6.19,1
2,3.15,0,0.10,0
1,1.05,2,2.21,1
3,1.68,0,0.44,0
