GH,XGH,GA,XGA,Side
1,0.47,0,0.98,1
2,1.37,1,0.86,0
0,0.41,1,0.67,1
0,1.03,2,0.90,0
1,0.79,1,0.66,1
0,1.17,0,0.52,0
3,1.04,3,1.04,1
3,3.09,0,0.93,0
1,0.74,1,0.54,1
2,1.22,3,2.50,0
2,2.16,1,0.78,0
0,0.87,4,4.69,1
0,1.43,1,1.07,0
5,1.58,2,1.40,1
0,1.29,0,0.13,0
0,0.32,1,1.49,1
1,1.55,2,1.53,0
2,0.86,1,0.27,1
1,1.11,1,0.29,0
1,0.85,0,0.51,0
1,1.17,3,0.84,1
2,2.24,0,0.10,0
0,0.93,1,0.43,1
1,1.86,0,0.23,0
0,0.28,1,1.81,1
2,0.97,1,1.12,0
0,0.71,2,1.89,1
0,0.71,0,0.29,0
1,1.32,2,1.33,1
1,0.79,0,0.43,1
3,2.99,0,0.14,0
0,0.50,1,2.20,1
2,1.64,0,0.33,0
1,1.16,3,2.00,1
3,1.41,1,1.00,0
0,0.24,2,1.46,1
1,1.04,1,0.45,0
3,1.68,0,0.44,1
