GH,XGH,GA,XGA,Side
3,1.54,0,0.11,0
1,1.36,1,0.76,1
2,1.42,3,0.57,0
0,1.03,2,0.90,1
5,3.94,1,1.07,0
0,0.40,1,2.04,1
2,2.34,2,0.51,0
0,0.48,2,2.53,1
3,1.19,1,0.50,0
2,2.35,1,2.02,1
0,0.70,0,0.89,0
2,2.11,2,0.94,1
3,1.33,0,0.75,0
0,0.42,2,0.28,1
1,0.76,0,0.91,0
1,0.51,2,1.44,1
2,1.52,2,2.90,1
1,1.29,2,1.18,0
1,1.92,0,1.01,1
0,0.35,6,3.51,1
1,1.51,0,0.21,0
2,2.97,0,0.41,1
0,0.93,1,0.43,0
0,0.11,2,1.93,1
1,1.30,1,0.91,0
1,1.88,0,0.51,1
3,3.00,0,0.67,0
0,0.25,4,2.38,1
1,0.54,1,0.50,0
0,0.55,1,1.01,1
0,1.00,2,1.18,0
1,0.64,0,0.24,1
3,2.30,0,1.10,0
4,3.22,0,0.73,1
1,3.77,2,1.58,0
1,1.54,0,1.07,0
2,1.29,3,1.28,1
0,0.83,0,2.10,0
