GH,XGH,GA,XGA,Side
1,0.98,1,0.40,0
1,0.95,2,1.36,1
3,1.86,1,1.09,0
2,2.76,2,0.45,1
2,2.09,0,0.40,1
0,0.14,0,0.11,0
2,1.39,0,0.48,1
2,4.13,0,0.72,0
0,0.41,0,0.09,1
2,2.35,1,2.02,0
1,0.93,1,2.12,1
3,0.83,1,0.75,0
2,1.12,1,1.65,1
5,2.12,1,0.22,0
2,1.94,1,0.70,1
1,1.38,3,2.26,0
1,1.55,2,1.53,1
3,1.73,0,0.37,0
1,1.11,0,0.23,1
3,2.44,0,0.30,1
3,3.33,2,0.90,0
1,1.58,2,1.49,1
0,1.56,2,0.70,0
2,1.43,1,0.71,0
1,0.58,0,1.14,1
1,0.74,0,0.45,0
0,0.20,0,1.50,1
0,0.90,0,1.55,0
1,0.54,1,0.50,1
0,0.26,3,1.96,0
1,0.51,0,0.27,1
2,1.05,2,1.71,0
0,1.00,2,3.50,1
1,1.23,2,0.86,0
1,0.76,1,0.61,1
0,0.24,2,1.46,0
1,1.50,4,2.43,1
3,1.28,2,2.36,0
