GH,XGH,GA,XGA,Side
2,0.55,1,0.38,1
1,1.36,1,0.76,0
0,0.42,0,0.63,1
0,0.45,1,0.39,0
0,0.64,1,0.42,1
6,4.93,0,0.45,0
2,2.20,1,0.85,0
0,0.43,1,0.47,1
1,0.74,1,0.54,0
0,1.08,4,2.85,1
0,1.39,0,1.31,0
0,1.26,0,0.05,1
5,3.81,1,1.20,0
1,1.18,1,0.65,1
2,1.94,1,0.70,0
1,1.52,1,0.92,1
2,0.98,0,0.50,0
1,2.65,1,1.15,1
2,1.69,0,0.13,0
2,1.87,2,0.26,0
1,1.51,0,0.21,1
2,1.54,0,0.38,0
0,0.48,0,0.73,1
2,0.93,1,1.58,0
1,1.05,3,3.76,1
1,1.49,0,0.11,1
3,3.08,1,1.13,0
0,0.71,0,0.29,1
9,6.61,1,0.60,0
1,1.66,1,1.05,1
3,2.27,0,1.67,0
1,0.31,1,0.75,1
4,1.97,0,0.21,0
1,1.23,2,0.86,1
1,0.78,2,1.73,0
2,3.15,0,0.10,1
0,0.28,3,1.58,0
0,0.08,0,0.07,1
