GH,XGH,GA,XGA,Side
0,0.35,2,3.01,1
3,2.26,0,0.33,0
0,0.82,0,0.36,0
0,0.44,5,3.82,1
0,0.64,1,0.42,0
0,0.64,2,1.39,1
3,1.04,3,1.04,0
0,0.49,5,4.28,1
3,1.88,0,0.21,0
2,1.47,1,1.32,1
1,1.54,1,1.11,0
2,1.08,1,1.48,1
2,1.12,1,1.65,0
1,1.12,1,0.24,1
0,0.81,0,0.60,0
1,1.21,1,0.15,1
3,2.15,1,0.53,0
0,0.77,0,1.07,1
1,1.92,0,1.01,0
1,1.30,0,1.03,0
0,1.06,2,1.65,1
4,3.09,1,0.45,1
5,3.66,0,0.25,0
2,0.93,1,1.58,1
4,2.10,2,1.56,0
2,0.97,1,1.12,1
2,2.54,0,0.58,0
0,0.43,1,2.92,1
1,1.34,4,2.46,0
1,1.67,2,1.49,1
3,0.82,0,0.34,0
2,1.05,2,1.71,1
0,0.83,1,0.37,0
1,1.17,0,0.22,1
3,1.13,0,0.47,0
2,2.15,2,1.57,1
2,0.77,0,0.08,0
0,0.83,0,2.10,1
