GH,XGH,GA,XGA,Side
1,0.47,0,0.98,0
4,2.74,2,2.32,1
2,2.85,2,1.30,0
1,1.68,2,0.60,1
1,2.02,0,0.25,0
1,0.76,1,0.55,1
2,1.39,0,0.48,0
1,1.29,2,1.20,1
1,2.10,1,0.97,0
0,0.11,1,1.47,1
2,0.90,1,0.59,1
0,0.43,0,0.63,0
3,1.33,0,0.75,1
4,1.77,0,0.34,0
1,1.87,1,0.93,1
1,1.21,1,0.15,0
1,0.64,0,0.90,1
1,2.65,1,1.15,0
0,0.57,1,0.71,1
1,0.85,0,0.51,1
4,4.01,1,1.06,0
1,0.98,1,0.57,1
2,1.12,2,0.91,0
4,2.14,3,2.49,1
2,1.35,0,0.38,0
1,0.74,0,0.45,1
0,1.19,1,0.44,0
3,1.48,1,0.66,1
1,1.94,1,0.43,0
2,1.32,0,0.44,0
2,1.01,2,1.51,1
1,0.64,0,0.24,0
0,0.65,0,1.92,1
1,1.32,1,0.41,0
3,1.13,0,0.47,1
2,2.18,0,0.23,0
0,0.28,3,1.58,1
2,1.01,4,1.55,0
