GH,XGH,GA,XGA,Side
1,1.17,1,1.75,1
1,0.95,2,1.36,0
2,2.04,0,0.30,1
1,0.90,3,2.64,0
1,2.02,0,0.25,1
4,2.71,0,0.18,0
4,3.90,1,0.23,1
0,0.48,2,2.53,0
2,1.03,1,1.37,1
1,0.43,0,0.15,0
1,1.54,1,1.11,1
5,3.12,1,0.11,0
5,3.81,1,1.20,1
0,1.41,1,1.58,0
0,1.29,0,0.13,1
1,0.85,0,0.95,1
0,1.13,2,1.07,0
2,1.95,0,0.36,1
3,2.66,1,1.98,0
3,3.33,2,0.90,1
2,2.44,1,2.48,0
2,3.05,1,0.40,0
3,2.41,0,0.32,1
4,2.14,3,2.49,0
0,0.86,0,0.39,1
3,2.49,4,3.05,0
3,3.00,0,0.67,1
0,1.98,2,0.56,0
2,1.36,0,0.48,1
1,1.67,2,1.49,0
2,1.27,2,1.76,1
1,0.31,1,0.75,0
2,3.22,0,1.38,1
1,1.16,3,2.00,0
2,2.93,3,1.76,1
1,1.63,1,1.68,0
2,2.38,1,1.20,1
2,0.70,3,2.65,0
