GH,XGH,GA,XGA,Side
1,0.49,2,1.81,0
3,1.70,0,0.08,1
3,3.53,3,1.30,1
1,1.53,2,0.85,0
4,2.23,1,2.52,1
1,1.21,1,1.08,0
0,1.49,0,1.32,1
1,1.00,2,1.62,0
1,1.58,3,1.96,1
2,1.14,3,1.44,0
1,1.63,5,1.48,1
2,1.03,0,0.89,0
2,1.14,1,0.66,1
1,2.42,1,0.54,0
1,1.23,0,0.17,1
0,0.34,2,2.25,0
0,0.41,1,1.10,1
2,3.04,0,1.06,0
0,0.21,2,1.08,1
4,2.16,3,1.43,1
3,3.20,0,0.13,0
2,2.12,1,0.38,0
1,2.37,1,0.92,1
6,5.54,1,1.49,0
3,2.58,2,1.42,1
0,0.86,1,1.60,0
0,0.85,0,0.33,1
7,2.39,1,1.53,0
1,0.38,0,0.56,1
0,0.65,2,2.20,0
1,0.36,1,0.86,1
0,0.81,1,1.04,0
1,1.75,1,1.54,1
1,0.87,1,0.50,0
2,1.97,1,0.74,1
2,1.65,1,0.47,0
1,1.26,0,0.98,1
2,1.25,0,0.50,0
