GH,XGH,GA,XGA,Side
0,0.69,0,2.20,1
3,1.70,0,0.08,0
1,0.62,3,2.12,1
0,0.40,1,1.78,0
2,2.91,1,0.53,1
3,2.76,2,0.92,0
0,1.29,2,1.69,1
5,4.62,2,2.84,0
3,1.86,0,1.41,1
1,1.26,0,0.50,0
2,0.83,1,0.48,1
1,0.72,1,1.12,0
0,1.46,3,2.25,1
2,1.60,1,0.33,0
1,1.12,2,1.43,1
10,5.72,2,0.93,0
0,0.37,2,2.20,1
2,0.92,2,1.32,1
2,0.95,1,0.35,0
2,1.27,2,1.82,0
3,3.20,0,0.13,1
2,1.43,2,1.13,0
2,3.10,0,0.27,1
2,2.39,2,1.73,0
2,1.66,2,3.37,1
2,2.46,2,1.42,0
1,1.18,5,4.53,1
2,1.78,1,0.20,0
1,1.21,1,0.80,1
2,1.40,2,1.58,0
2,2.49,0,0.76,1
1,0.63,0,2.08,0
2,1.09,1,0.63,1
1,1.14,1,1.05,0
2,1.56,3,2.64,1
1,1.07,0,0.60,0
2,1.67,1,2.18,0
3,2.06,1,1.33,1
