GH,XGH,GA,XGA,Side
0,0.33,0,1.54,0
5,3.15,0,0.94,1
0,1.48,6,4.39,0
1,3.04,0,1.77,1
1,1.18,2,2.94,0
0,3.19,0,0.64,1
1,2.39,1,0.79,0
3,1.60,0,1.55,1
1,1.58,3,1.96,0
3,2.80,1,0.56,1
3,2.40,2,1.26,0
0,1.26,4,3.28,1
0,0.28,2,2.29,0
4,1.87,1,0.24,1
1,0.94,0,1.46,0
10,5.72,2,0.93,1
3,3.42,1,0.58,1
2,2.46,2,1.20,0
5,3.53,0,0.99,1
5,3.15,1,0.69,1
1,0.21,1,3.35,0
6,2.77,0,1.47,1
1,0.75,2,1.68,0
4,2.09,2,1.50,1
1,1.69,1,1.76,0
0,0.98,1,0.70,1
1,1.08,3,2.04,0
7,2.39,1,1.53,1
1,1.30,2,0.86,0
4,4.08,0,1.04,1
1,0.88,2,1.57,0
4,2.84,0,1.61,1
1,1.04,5,3.07,0
3,1.76,0,0.23,1
2,1.56,3,2.64,0
0,0.50,1,1.59,0
3,2.52,2,2.32,1
0,0.65,2,1.91,0
