GH,XGH,GA,XGA,Side
2,1.62,1,0.36,1
0,0.59,0,0.59,0
0,0.71,1,0.24,1
0,0.46,0,0.67,0
1,1.64,2,1.06,1
1,2.13,0,0.23,0
2,1.27,1,0.23,1
4,4.86,0,0.28,0
4,1.83,1,0.72,0
1,1.40,1,1.03,1
1,2.10,1,1.71,0
2,0.38,3,2.29,1
4,1.28,3,2.71,0
5,2.21,1,0.57,1
3,1.17,2,0.65,0
2,1.13,0,0.43,1
1,1.51,1,0.52,0
0,0.52,0,0.14,1
1,0.51,1,0.33,0
3,1.45,1,1.03,0
2,1.73,1,0.58,0
0,1.58,1,1.34,1
4,0.74,0,1.14,0
1,1.24,1,0.37,1
0,0.92,1,1.63,0
1,1.42,1,0.57,1
2,1.39,1,1.51,1
0,0.81,1,0.87,1
3,1.46,0,1.55,0
0,1.35,0,0.41,1
4,3.09,2,0.52,0
2,0.98,0,0.28,1
1,0.94,0,0.30,0
2,1.40,6,4.95,1
2,1.45,2,1.56,0
1,1.58,2,1.12,1
0,1.60,0,0.08,0
3,1.56,0,0.99,1
