GH,XGH,GA,XGA,Side
0,0.65,1,0.91,0
0,0.19,0,0.70,1
2,1.66,1,0.48,0
1,1.18,5,2.95,1
1,1.64,2,1.06,0
1,1.29,2,1.38,1
0,0.67,1,0.24,0
2,0.85,3,1.54,1
4,3.12,0,1.19,0
0,0.19,2,1.48,1
3,2.63,0,0.27,0
2,1.64,0,0.16,1
3,1.22,0,0.21,0
0,0.68,0,0.30,1
1,0.89,1,1.26,0
1,0.89,1,0.82,1
2,1.42,0,0.35,0
0,1.61,0,0.32,1
2,1.01,2,0.45,0
0,0.67,2,0.83,1
2,1.87,0,0.73,0
0,0.42,2,0.17,1
2,2.60,1,0.84,0
4,0.74,0,1.14,1
1,1.91,0,0.04,0
1,2.11,0,0.05,1
1,1.35,1,0.87,0
0,0.77,0,0.38,1
1,1.53,1,0.39,0
2,1.67,4,2.43,1
2,1.58,1,1.40,0
0,0.54,1,0.58,1
2,0.76,1,0.75,0
3,2.57,0,0.12,1
2,1.08,0,0.89,0
4,1.64,0,0.60,1
1,1.40,1,0.53,0
1,0.67,1,1.44,1
