GH,XGH,GA,XGA,Side
1,0.83,1,0.83,1
2,0.45,2,0.44,0
0,1.06,2,2.48,1
1,0.87,0,0.65,0
2,0.47,1,1.78,1
1,0.74,0,0.79,0
2,1.39,1,0.60,1
1,1.34,1,0.42,0
4,3.12,0,1.19,1
4,1.97,2,0.24,0
3,1.93,2,1.27,1
0,1.45,0,0.56,0
4,1.28,3,2.71,1
2,0.52,2,0.85,0
1,2.80,1,0.96,1
4,2.71,1,0.62,0
3,1.82,1,0.71,0
0,0.67,2,0.93,1
2,1.99,1,0.40,0
1,0.81,1,1.87,0
0,1.47,1,0.12,1
1,1.13,1,0.44,0
2,2.40,1,0.57,1
3,1.80,0,0.14,0
1,1.01,2,1.36,1
1,1.52,0,0.79,0
1,1.50,2,0.63,1
0,0.77,0,0.38,0
0,0.84,2,1.06,1
0,0.81,1,0.56,0
2,1.26,0,1.18,1
2,0.98,0,0.28,0
2,1.06,0,1.37,1
0,0.09,2,1.25,0
4,1.45,2,1.56,1
3,2.21,0,0.58,1
2,1.86,2,1.08,0
0,1.16,2,2.55,1
