GH,XGH,GA,XGA,Side
1,0.83,1,0.83,0
0,0.34,2,0.76,1
5,3.80,2,1.04,0
0,0.26,0,0.68,1
1,1.07,2,1.40,1
3,2.99,1,1.80,0
2,0.99,2,1.37,1
2,0.80,3,1.40,0
1,0.93,2,1.24,1
1,1.44,1,0.34,0
0,0.47,1,1.63,1
2,1.64,0,0.16,0
0,1.15,3,1.48,1
3,1.13,1,1.16,0
0,0.15,3,3.17,1
2,1.13,0,0.43,0
3,1.80,3,1.45,1
1,1.66,1,1.16,0
3,0.61,4,1.17,1
1,0.81,1,1.87,1
3,1.00,2,0.99,0
1,0.89,3,2.36,1
3,1.31,0,0.48,0
3,2.06,0,0.13,0
1,2.05,4,2.13,1
5,1.52,2,1.31,0
1,1.30,1,0.99,1
2,1.91,0,0.67,0
1,0.54,2,1.35,1
0,0.64,1,0.60,0
2,1.58,1,1.40,1
3,2.86,0,0.12,0
2,0.80,2,2.22,1
7,3.75,1,0.10,0
2,1.45,2,1.56,1
4,3.01,1,0.84,0
2,2.15,1,0.82,1
5,2.27,0,0.24,0
