GH,XGH,GA,XGA,Side
6,3.84,2,0.25,0
0,0.59,0,0.59,1
2,1.81,3,1.97,0
2,1.96,2,1.42,1
1,0.75,0,0.45,0
1,0.74,0,0.79,1
1,1.19,0,0.69,0
1,0.91,6,3.99,1
1,0.93,2,1.24,0
0,0.73,1,0.75,1
2,1.39,0,0.29,0
2,0.59,0,0.36,1
3,2.55,1,0.35,0
3,2.08,3,1.49,1
1,0.68,0,0.56,1
1,0.85,0,0.52,0
2,1.42,0,0.35,1
1,0.88,0,0.43,0
0,1.23,0,0.73,1
1,1.32,1,1.13,1
0,1.52,0,0.29,1
4,1.56,1,0.25,0
1,0.55,2,1.95,1
1,1.01,2,1.36,0
2,1.09,3,0.59,1
1,1.42,1,0.57,0
2,1.01,1,0.47,0
2,1.91,0,0.67,1
2,0.43,1,1.18,0
0,0.75,1,1.45,1
4,2.26,1,1.02,0
2,0.31,0,0.43,1
0,0.68,1,1.41,0
2,2.57,1,1.05,0
1,0.62,4,2.54,1
4,1.64,0,0.60,0
1,0.49,1,0.16,1
2,1.27,2,2.15,0
