GH,XGH,GA,XGA,Side
2,1.44,1,0.60,1
0,1.12,0,0.28,0
2,1.66,1,0.48,1
5,2.53,0,0.50,0
2,1.39,1,0.85,0
0,0.63,5,3.67,1
2,1.27,1,0.23,0
1,0.49,2,0.96,1
0,0.55,0,0.24,0
1,0.48,1,1.29,1
3,1.93,2,1.27,0
1,0.20,3,2.15,1
2,2.90,1,1.46,0
3,1.13,1,1.16,1
2,1.23,1,0.59,0
1,1.19,3,3.12,1
1,2.51,0,0.72,0
2,0.45,3,2.48,1
0,1.23,0,0.73,0
2,2.01,1,0.99,0
2,1.10,4,3.30,1
0,0.42,2,0.17,0
1,1.63,4,2.50,1
1,2.32,1,1.18,1
6,2.99,1,1.08,0
0,0.92,1,1.63,1
1,2.11,1,0.93,0
3,2.98,1,1.17,1
0,0.97,0,0.27,0
0,0.81,1,0.56,1
3,1.99,1,0.40,0
2,0.47,3,1.67,1
2,0.80,2,2.22,0
1,0.55,1,1.71,1
3,3.91,1,1.03,0
1,1.55,0,0.30,1
0,0.52,1,1.13,0
2,1.27,2,2.15,1
