GH,XGH,GA,XGA,Side
2,1.27,4,1.28,1
1,1.36,0,2.06,0
2,1.81,3,1.97,1
2,1.34,1,1.53,0
2,1.42,1,0.26,1
1,1.29,2,1.38,0
0,1.01,2,3.29,1
1,0.49,2,0.96,0
2,0.84,3,2.05,1
1,1.40,1,1.03,0
2,0.57,1,1.44,0
1,1.58,1,0.62,1
2,0.22,1,0.48,0
2,0.52,2,0.85,1
3,2.70,2,1.58,0
3,1.80,3,1.45,0
2,1.86,1,0.92,1
0,1.21,2,1.47,0
3,0.86,1,0.98,0
0,0.87,4,1.25,1
0,1.52,0,0.29,0
2,1.48,0,1.23,1
2,0.83,1,0.99,1
2,1.33,1,0.63,0
1,1.91,0,0.04,1
3,1.76,0,0.32,0
1,2.11,1,0.93,1
4,4.19,2,1.02,0
3,1.46,0,1.55,1
3,2.07,2,1.69,1
1,0.73,3,2.25,0
0,0.76,0,0.74,1
2,1.06,0,1.37,0
2,2.33,3,1.69,1
2,2.42,1,0.97,0
4,3.01,1,0.84,1
0,1.60,1,0.48,0
1,1.49,3,0.93,1
