GH,XGH,GA,XGA,Side
1,1.32,0,0.99,0
0,0.64,2,2.69,1
1,2.63,0,0.49,0
0,0.49,3,2.14,1
1,1.94,0,0.22,0
1,0.70,2,2.72,1
0,1.03,2,2.53,0
0,0.54,2,0.88,1
2,0.78,0,0.62,0
1,0.63,2,1.07,1
1,1.02,0,0.68,1
4,4.07,1,0.61,0
1,0.40,2,1.09,1
2,0.42,3,1.71,0
2,3.73,0,0.28,1
1,1.04,0,0.57,0
1,2.13,0,0.30,1
2,2.55,0,0.23,0
1,0.61,0,0.80,1
2,1.75,2,1.42,1
2,2.09,1,1.03,0
2,1.20,1,1.30,1
1,1.99,2,0.79,0
1,0.59,0,0.19,1
4,3.51,0,0.62,0
1,2.28,0,0.29,1
2,1.93,1,0.37,0
1,0.78,3,1.72,1
3,2.69,1,1.25,0
0,0.64,0,0.54,0
2,1.49,0,0.88,1
0,1.26,1,0.12,0
1,0.91,2,1.79,1
0,0.35,4,1.59,0
0,0.53,1,2.56,1
0,1.67,3,1.75,0
3,0.34,1,1.04,1
1,2.46,0,1.09,0
