GH,XGH,GA,XGA,Side
0,1.11,0,0.34,0
0,1.47,1,1.22,1
1,1.56,2,0.39,0
1,0.96,2,0.54,1
1,0.73,1,0.74,0
4,2.32,0,1.04,1
2,2.42,1,1.54,0
1,0.86,2,2.22,1
1,0.64,1,0.82,0
2,1.95,1,1.15,1
2,0.84,2,0.83,0
4,4.07,1,0.61,1
1,1.27,0,0.84,0
1,0.91,0,0.62,1
0,0.27,0,0.91,1
1,0.37,0,0.26,0
2,2.93,0,1.89,1
2,1.46,0,0.98,0
1,1.37,0,0.38,1
2,3.77,2,1.39,1
1,1.77,1,0.78,0
0,1.09,0,0.10,1
0,0.99,0,0.33,0
3,1.57,0,0.08,1
1,1.03,0,1.56,0
3,1.95,0,0.33,1
3,2.02,1,0.84,0
0,1.61,1,0.80,1
1,0.42,2,0.80,0
0,1.84,1,0.79,1
2,1.49,0,0.88,0
1,0.70,0,0.52,1
1,0.84,2,0.54,0
0,0.40,1,0.62,0
1,2.52,1,2.07,1
0,1.97,1,1.26,0
0,1.08,1,0.87,1
0,0.80,1,1.44,0
