GH,XGH,GA,XGA,Side
1,1.61,0,0.22,0
1,1.39,5,0.51,1
1,0.90,3,1.90,0
1,0.90,0,1.11,1
1,1.39,0,0.37,0
0,0.86,2,1.59,1
3,4.84,0,0.68,0
2,1.90,5,1.69,1
4,2.72,0,0.82,0
1,0.55,3,1.90,1
3,2.53,0,0.13,0
0,0.94,2,1.01,1
2,2.03,2,2.05,0
1,2.48,0,0.35,1
2,3.73,0,0.28,0
2,1.47,2,2.13,1
2,2.93,0,1.89,0
1,0.91,2,1.69,1
6,3.87,0,0.14,0
2,3.29,1,1.95,1
3,3.51,0,0.45,0
1,0.31,0,0.84,1
0,0.65,0,0.35,0
1,1.08,2,2.84,1
0,1.52,0,0.13,0
1,1.44,1,1.09,1
2,1.50,1,0.73,0
0,1.03,2,2.62,1
1,1.27,1,0.31,0
0,0.91,3,3.88,1
2,1.83,1,1.56,0
0,0.71,1,3.18,1
1,1.38,0,0.02,0
0,0.35,4,1.59,1
1,2.35,1,1.75,0
0,1.97,1,1.26,1
1,0.99,0,0.51,0
1,1.09,2,1.64,1
