GH,XGH,GA,XGA,Side
1,1.28,0,0.45,0
3,2.80,0,0.12,0
3,1.59,1,0.82,1
0,0.49,3,2.14,0
0,1.92,0,0.99,1
4,2.32,0,1.04,0
3,2.76,0,0.54,1
1,1.78,2,1.23,0
4,2.72,0,0.82,1
1,1.50,1,0.68,0
2,1.19,0,0.59,1
1,1.02,1,1.41,0
2,2.07,3,1.82,1
3,1.23,1,0.95,0
0,0.68,2,3.68,1
0,0.88,1,0.69,0
0,2.08,1,1.11,0
1,1.34,1,1.82,1
0,2.35,1,0.86,0
2,3.14,1,1.18,1
4,2.29,2,0.90,1
2,0.53,1,1.40,0
1,1.99,2,0.79,1
1,1.28,1,1.16,0
1,1.03,0,1.56,1
1,1.00,0,0.51,0
0,0.55,2,0.30,1
0,1.03,2,2.62,0
2,1.39,1,1.16,1
1,1.54,0,0.37,0
1,0.56,3,3.72,1
2,1.85,2,1.13,0
2,1.38,1,0.21,1
4,4.37,1,1.51,1
1,1.32,0,0.53,1
5,3.07,1,1.11,0
2,2.21,4,3.02,0
2,1.36,2,1.06,1
