GH,XGH,GA,XGA,Side
1,1.08,1,0.98,0
1,0.98,0,1.48,1
2,0.68,0,0.43,0
1,2.47,1,1.21,1
0,0.58,2,1.48,0
3,1.16,0,0.50,1
0,1.14,0,0.66,0
1,0.57,0,0.28,1
1,1.86,1,1.62,0
2,1.41,0,0.21,1
1,1.35,1,0.41,0
3,1.10,2,2.05,1
1,0.43,1,0.56,1
1,1.21,1,1.60,0
3,2.64,0,1.37,1
2,0.69,3,1.94,0
1,1.03,0,0.71,1
1,1.57,1,0.76,0
1,2.43,0,0.90,1
0,1.23,3,2.74,0
2,1.88,0,0.28,1
1,1.02,0,0.55,0
1,1.02,3,1.45,1
0,1.08,1,0.15,0
2,1.71,0,1.41,1
0,0.73,2,2.12,0
1,1.36,0,0.10,1
2,1.32,0,1.02,0
0,0.86,4,1.92,0
2,2.68,0,0.69,1
2,2.58,0,1.02,0
2,1.75,0,0.62,1
0,0.86,1,1.55,0
3,1.73,2,2.06,1
1,0.51,0,0.58,1
3,1.72,0,0.85,0
1,1.43,1,0.66,1
2,2.75,2,1.77,0
