GH,XGH,GA,XGA,Side
0,0.63,0,0.03,1
1,0.50,4,4.09,1
0,1.13,1,0.83,0
3,1.72,2,0.90,1
2,1.68,2,1.55,0
0,0.83,1,1.56,1
1,1.61,1,1.81,0
2,1.31,3,2.11,1
0,0.58,0,0.54,0
2,2.73,1,1.74,1
0,2.26,1,0.38,0
0,0.49,0,1.40,1
1,2.64,3,2.57,0
1,1.21,1,1.60,1
1,1.80,0,0.15,0
2,2.28,0,0.81,0
1,1.21,1,0.58,1
2,1.87,2,1.03,0
1,0.54,1,1.05,1
3,1.42,2,0.92,0
0,1.52,2,2.62,1
3,1.85,0,0.24,0
0,1.38,2,0.68,1
1,1.75,2,3.23,0
0,1.10,0,0.42,1
0,0.66,2,1.72,0
2,2.26,3,1.12,1
0,0.45,2,1.78,0
1,0.24,2,1.06,1
2,2.68,0,0.69,0
1,1.36,2,0.41,1
0,0.96,1,1.39,1
2,1.79,1,0.33,0
1,0.94,0,0.31,0
1,1.02,0,1.07,1
2,2.46,0,0.60,0
1,1.42,2,0.56,1
2,1.08,1,1.05,0
