GH,XGH,GA,XGA,Side
0,0.63,0,0.03,0
0,0.51,1,1.20,1
0,1.08,0,1.10,0
0,1.10,1,0.85,1
3,2.13,3,2.16,0
2,1.25,1,1.10,1
0,2.91,1,0.85,0
1,0.93,0,0.80,1
0,0.82,1,0.50,0
1,1.24,1,0.51,1
2,1.93,0,1.11,0
0,0.41,0,1.22,1
1,1.40,0,0.53,0
2,1.85,4,1.67,1
1,1.75,2,1.31,0
2,0.69,3,1.94,1
1,1.14,1,0.59,0
0,1.79,1,1.03,1
1,3.63,1,0.17,0
2,1.43,0,1.50,0
2,1.96,1,0.90,1
4,1.98,0,0.55,0
0,0.50,0,1.32,1
1,3.75,0,0.31,0
0,0.59,2,0.83,1
3,2.93,1,1.45,0
1,2.03,4,2.61,1
1,1.64,2,2.21,0
1,1.99,1,0.74,1
1,1.85,0,0.90,0
0,1.33,2,2.24,1
2,1.40,2,1.37,1
2,0.70,2,1.88,0
1,0.94,0,0.31,1
1,0.51,0,0.58,0
1,1.16,0,1.34,1
1,1.87,2,1.48,0
0,0.76,2,1.58,1
