GH,XGH,GA,XGA,Side
1,1.50,2,1.52,0
2,0.85,2,0.22,0
8,6.04,2,1.64,0
0,1.67,1,1.21,1
0,0.57,1,0.20,1
3,1.16,0,0.50,0
1,1.61,1,1.81,1
1,0.93,0,0.80,0
0,0.26,2,1.85,1
2,1.88,1,1.01,0
1,1.31,1,0.47,1
2,1.44,1,0.98,0
2,2.96,2,0.56,1
2,2.39,0,1.24,0
0,1.04,1,0.46,1
2,3.99,2,1.65,1
2,3.83,1,2.27,0
2,1.34,1,1.04,1
1,1.95,0,0.44,0
0,1.23,3,2.74,1
0,0.31,0,0.55,0
4,1.98,0,0.55,1
0,1.38,2,0.68,0
0,1.16,1,1.37,1
1,1.02,1,0.98,0
2,0.94,1,2.53,1
2,1.32,1,0.93,0
1,1.89,3,2.16,1
3,4.63,2,1.37,0
3,3.49,3,1.97,1
2,2.61,2,1.77,0
0,0.21,0,0.96,1
0,1.32,0,1.04,0
2,1.19,0,0.65,1
1,1.16,1,1.33,0
2,2.42,6,2.61,1
2,2.01,1,1.52,0
2,1.30,1,0.92,1
