GH,XGH,GA,XGA,Side
0,0.81,3,1.24,1
6,1.82,2,1.06,0
0,0.63,0,0.39,1
1,0.85,0,0.71,0
1,0.91,3,1.12,1
2,0.54,1,0.37,0
2,0.97,1,0.86,1
0,0.79,2,0.83,0
3,1.25,0,0.33,1
2,2.44,0,1.34,0
0,0.26,2,2.13,1
2,2.13,0,0.20,0
1,1.37,0,1.13,1
2,0.91,0,0.58,1
1,1.70,2,1.16,0
2,0.97,3,2.92,1
3,1.86,2,0.81,0
3,1.30,0,0.32,0
1,0.44,0,0.75,0
1,1.17,1,2.15,1
4,3.43,2,0.40,0
1,0.44,0,1.34,1
1,2.37,0,0.09,0
0,0.36,1,0.19,1
0,1.38,2,0.82,0
1,0.77,2,0.92,0
1,0.55,0,0.56,1
1,1.25,3,1.68,1
2,1.37,1,0.79,0
1,1.35,0,0.23,1
2,1.28,2,1.60,0
0,1.17,1,1.77,1
1,1.43,1,1.00,0
1,1.49,2,1.36,1
2,2.66,0,0.66,0
2,1.13,3,2.19,1
1,1.24,2,1.84,1
3,2.03,2,1.84,0
