GH,XGH,GA,XGA,Side
1,1.02,0,0.17,0
0,0.91,1,1.00,1
0,0.91,1,1.83,0
4,2.68,2,1.29,1
1,0.69,1,0.30,0
0,0.88,1,1.04,1
2,0.97,1,0.86,0
0,0.52,0,0.38,1
2,2.26,0,0.19,0
1,0.89,3,2.32,1
0,0.87,2,1.22,0
2,1.56,1,1.10,0
1,1.04,2,1.52,1
1,2.01,0,0.38,0
2,1.53,0,0.82,1
2,1.08,0,1.29,0
1,1.19,1,0.72,1
3,2.02,3,1.34,0
2,1.45,0,0.64,1
2,2.28,0,0.49,0
0,0.97,2,1.17,1
0,0.96,0,2.56,0
1,2.09,1,0.85,1
3,1.53,3,1.67,0
0,1.38,2,0.82,1
4,1.85,1,1.38,0
0,0.98,1,1.36,1
4,4.75,1,0.62,0
1,0.67,0,0.62,1
0,0.35,4,0.38,1
2,1.84,1,1.44,0
0,0.71,0,0.49,1
3,3.00,1,0.26,0
0,0.48,3,2.34,1
3,2.56,1,0.38,0
0,0.26,1,1.73,1
2,2.68,1,0.97,0
1,0.96,0,1.00,1
