GH,XGH,GA,XGA,Side
0,1.54,0,0.06,1
0,0.27,1,0.95,0
2,0.78,0,0.34,1
1,1.74,1,0.21,0
2,1.46,0,0.99,1
0,0.82,0,0.35,1
1,0.87,0,0.22,0
1,0.67,0,0.46,1
3,2.34,0,0.37,0
1,1.91,2,1.15,1
2,2.17,0,0.39,0
1,1.57,1,1.51,1
2,2.38,0,0.58,0
1,1.24,0,0.28,0
1,1.33,1,3.25,1
1,1.19,1,0.72,0
3,2.32,0,0.08,1
2,1.31,1,0.74,0
1,0.44,0,0.75,1
1,1.19,0,0.19,1
1,1.55,0,0.69,0
0,0.74,1,0.91,1
1,1.38,1,0.63,0
1,0.59,2,2.23,0
0,0.37,0,0.14,1
2,0.44,1,0.37,0
2,1.04,1,0.39,1
0,0.21,1,0.55,0
3,1.87,0,0.43,1
2,1.22,0,0.23,0
3,2.82,1,0.94,1
0,1.17,1,1.77,0
2,1.29,0,1.40,1
6,2.95,1,0.30,0
3,2.56,1,0.38,1
3,1.74,2,1.43,0
0,1.09,4,3.43,1
1,2.33,4,2.46,0
