GH,XGH,GA,XGA,Side
3,1.40,3,1.32,1
2,1.51,0,0.16,0
1,1.15,0,0.71,1
1,1.36,1,1.03,0
1,0.69,1,0.30,1
3,1.75,1,0.45,0
0,0.33,0,1.66,1
1,0.67,0,0.46,0
0,0.31,2,0.69,1
0,0.81,1,0.15,0
1,0.98,3,2.26,1
1,0.67,0,0.43,0
2,1.50,0,0.55,1
0,0.45,0,0.35,1
2,1.08,1,1.13,0
1,1.70,2,1.16,1
1,0.86,0,1.38,0
2,1.10,0,0.31,1
1,0.45,1,1.18,0
4,1.45,2,1.31,1
1,0.27,1,0.76,0
0,1.39,0,0.96,1
1,2.09,1,0.85,0
2,1.56,0,0.60,1
0,0.25,2,0.64,0
2,0.44,1,0.37,1
2,1.20,0,0.41,0
2,1.12,1,0.71,1
3,4.79,0,0.13,0
0,0.70,0,1.08,1
3,2.62,1,0.23,0
2,1.53,0,0.29,0
1,0.59,2,1.89,1
1,1.49,2,1.36,0
1,1.46,0,0.30,1
0,3.10,1,0.27,0
1,0.41,1,0.54,1
3,1.08,0,0.22,0
