GH,XGH,GA,XGA,Side
0,0.71,2,1.54,0
0,0.39,0,0.17,1
0,0.38,2,1.16,0
1,0.30,1,0.91,1
3,1.36,1,0.74,0
1,1.89,0,1.66,1
0,0.59,0,0.18,1
1,1.57,2,1.10,0
1,2.31,0,0.46,1
1,1.67,2,0.36,0
0,0.32,0,1.04,1
1,2.11,0,0.69,0
0,1.62,2,0.80,1
0,0.51,0,0.38,0
2,1.42,0,0.40,1
0,0.59,0,0.65,1
0,0.70,2,0.70,0
1,1.38,1,0.56,1
1,1.11,0,0.42,0
2,1.19,0,1.05,1
2,1.81,1,0.62,0
5,2.63,1,0.34,0
3,2.36,0,0.45,1
2,0.76,1,1.37,0
0,0.33,3,0.59,1
1,0.71,0,0.66,0
2,1.59,3,1.63,1
2,2.40,2,1.03,0
0,0.28,0,1.17,1
2,1.06,0,0.17,0
5,4.14,1,0.44,1
0,1.81,1,1.34,0
0,0.18,0,0.19,1
1,1.62,3,0.62,0
0,0.90,0,0.24,0
0,0.46,1,1.40,1
1,1.33,0,1.54,0
2,0.22,3,2.13,1
