GH,XGH,GA,XGA,Side
0,0.39,0,1.06,0
2,1.58,0,0.15,0
0,0.38,2,1.16,1
1,0.76,0,0.40,0
0,0.97,1,2.98,1
2,1.31,1,0.22,0
1,0.50,1,1.70,1
2,2.23,0,0.27,0
2,0.81,2,0.65,1
2,0.62,0,0.09,0
3,0.65,1,0.27,1
2,0.27,0,0.29,1
1,1.41,2,0.90,0
1,0.56,2,1.91,0
1,1.10,1,0.99,1
0,1.47,2,0.97,0
1,1.35,1,1.36,1
1,1.23,1,1.18,0
2,1.49,1,1.19,1
2,1.85,2,0.45,0
2,2.46,2,0.65,1
1,1.43,0,0.35,0
0,0.93,4,1.65,1
3,1.89,1,0.52,0
0,0.84,0,0.04,1
2,2.27,3,0.77,1
1,1.21,1,1.10,0
1,1.96,1,0.18,0
1,1.36,1,1.10,1
1,1.16,0,0.90,1
3,1.97,0,0.44,0
0,0.92,2,0.56,1
0,0.18,0,0.19,0
2,1.06,4,1.40,1
3,1.53,2,1.71,1
2,0.49,1,0.25,0
0,0.36,4,2.05,1
1,1.29,0,1.46,0
