GH,XGH,GA,XGA,Side
1,0.27,0,0.41,0
0,1.04,1,0.74,1
3,1.28,0,1.37,0
2,1.79,0,0.91,1
0,0.79,1,1.22,0
2,1.31,1,0.22,1
3,3.11,0,0.42,0
3,1.34,3,1.01,1
0,1.21,1,2.20,0
1,0.39,1,0.69,1
0,0.32,0,1.04,0
2,0.96,2,1.67,1
2,1.23,1,1.31,0
2,1.41,0,0.98,1
3,2.59,0,1.79,0
1,0.74,2,0.87,1
1,0.70,0,0.53,0
2,1.54,1,0.23,0
0,0.82,2,1.13,1
0,1.02,0,0.49,0
2,1.22,2,0.71,1
1,2.03,0,0.20,1
1,2.36,2,1.19,0
4,2.19,0,1.29,1
0,0.84,0,0.04,0
2,0.81,4,2.11,1
4,2.45,3,0.88,0
2,2.40,2,1.03,1
5,3.25,1,1.78,0
2,1.46,0,0.64,1
0,1.65,1,0.22,0
2,0.64,2,0.95,1
0,0.38,2,2.10,1
0,0.49,3,2.24,0
1,0.87,1,0.53,1
3,1.30,2,0.95,0
0,1.26,0,0.09,0
2,1.17,3,0.84,1
