GH,XGH,GA,XGA,Side
1,0.46,2,2.81,0
0,1.26,0,1.13,1
1,2.02,1,1.43,0
0,0.14,3,2.14,1
0,0.97,1,2.98,0
2,1.63,3,2.12,1
2,1.82,3,2.35,0
3,1.34,3,1.01,0
1,1.47,1,1.53,1
1,1.12,1,1.29,1
0,1.38,1,1.69,0
1,2.11,0,0.69,1
3,1.20,1,1.16,0
1,1.23,0,0.40,1
3,1.79,3,1.82,0
1,0.62,1,0.65,1
1,0.22,2,2.24,0
1,1.45,0,0.47,1
0,0.41,0,1.31,0
2,1.85,2,0.45,1
0,0.66,2,0.69,0
4,3.03,0,1.39,1
3,2.36,0,0.45,0
2,1.23,0,0.40,1
1,1.86,0,0.84,1
1,2.03,1,1.24,0
3,3.26,1,1.19,1
0,1.39,0,0.36,0
2,1.25,2,0.52,0
2,1.27,2,1.47,1
0,2.31,2,1.91,0
1,1.11,2,1.29,1
4,2.61,1,0.74,0
2,1.04,1,0.47,1
1,0.92,1,1.56,0
3,1.30,2,0.95,1
6,4.30,1,1.05,0
2,3.83,0,0.49,1
