GH,XGH,GA,XGA,Side
1,0.46,2,2.81,h
3,1.27,3,2.23,a
2,1.10,1,0.95,h
1,0.30,1,0.91,a
0,0.79,1,1.22,h
1,0.63,3,1.89,a
6,2.46,1,0.84,h
1,2.40,4,1.06,a
1,0.75,4,2.10,a
3,0.65,1,0.27,a
0,0.92,0,0.38,h
1,1.44,2,1.94,h
0,0.63,1,0.41,a
3,2.34,0,1.24,h
2,2.32,0,0.37,a
0,0.36,0,1.04,a
0,0.56,3,3.77,h
1,1.32,1,0.80,a
1,0.64,0,0.77,h
1,0.84,1,0.36,a
2,1.81,1,0.62,h
2,0.47,1,1.23,h
2,2.24,0,1.46,a
1,1.27,0,0.74,h
1,1.86,0,0.84,a
1,0.83,1,2.13,h
0,1.25,0,0.48,a
0,1.30,2,0.65,h
2,1.90,1,1.01,h
0,1.17,2,1.79,a
3,1.97,0,0.44,h
4,2.08,1,0.57,a
3,2.17,0,0.63,h
1,1.84,1,0.69,a
2,2.09,0,0.79,h
1,1.95,0,0.58,a
2,2.03,0,0.52,h
2,1.17,3,0.84,a
