GH,XGH,GA,XGA,Side
1,1.11,2,1.59,0
1,0.94,0,0.40,1
1,1.91,0,0.40,0
4,2.42,1,0.42,1
2,2.22,2,0.74,0
1,0.87,1,1.48,1
0,0.59,0,0.18,0
1,1.94,0,0.89,1
1,1.84,0,0.48,0
0,0.55,1,1.34,1
0,1.38,1,1.69,1
3,3.29,0,0.34,0
1,1.41,2,0.90,1
3,2.57,1,0.58,0
2,1.16,2,1.04,1
1,0.74,2,0.87,0
1,1.40,1,0.56,1
1,1.32,1,0.80,1
2,0.60,0,0.72,0
1,0.66,3,1.79,1
2,2.46,2,0.65,0
1,1.93,1,0.28,1
2,1.51,0,1.47,0
2,0.76,1,1.37,1
0,1.85,2,2.40,0
0,1.46,1,0.54,1
4,2.12,1,0.68,0
4,1.52,1,1.02,1
2,1.58,0,0.36,0
2,1.27,2,1.47,0
0,1.65,1,0.22,1
3,1.14,1,0.33,0
2,0.69,1,1.64,1
2,2.99,1,1.09,0
2,2.09,0,0.79,0
2,1.58,3,1.20,1
1,2.15,0,1.65,0
4,2.45,1,1.31,1
