GH,XGH,GA,XGA,Side
0,0.39,0,1.06,1
3,1.27,3,2.23,1
6,3.21,0,0.27,0
0,0.85,0,0.77,1
1,0.40,3,1.61,1
1,1.89,0,1.66,0
0,0.42,1,1.56,1
1,1.25,1,0.96,0
0,1.21,1,2.20,1
3,1.84,0,0.88,0
1,0.74,0,1.20,0
0,0.37,1,2.39,1
4,3.26,1,1.51,0
1,1.09,1,1.37,1
4,3.14,1,0.29,0
0,1.03,3,2.22,1
1,1.40,1,0.56,0
1,1.39,1,0.48,1
0,0.41,0,1.31,1
4,1.58,1,0.28,0
2,0.87,4,3.43,1
1,1.84,3,0.77,0
0,0.77,1,0.80,1
4,2.19,0,1.29,0
2,2.20,0,0.35,0
2,2.27,3,0.77,0
3,3.26,1,1.19,0
0,0.83,1,2.32,1
2,1.90,1,1.01,0
0,1.37,9,4.30,1
2,1.36,1,0.54,0
0,1.81,1,1.34,1
1,2.05,0,0.20,0
2,2.99,1,1.09,1
4,1.62,1,2.12,0
2,2.36,4,2.31,1
1,1.05,0,0.14,0
1,0.74,1,2.46,1
