GH,XGH,GA,XGA,Side
3,2.27,2,1.99,1
2,2.84,0,0.46,0
2,2.04,0,0.38,1
2,0.72,0,0.80,0
0,1.01,6,3.50,1
2,1.32,1,0.51,0
0,0.85,0,0.38,0
1,1.35,0,0.96,1
3,1.32,2,1.30,0
0,0.21,2,1.05,1
2,1.86,0,1.14,0
1,1.86,0,0.28,1
1,1.77,0,0.07,0
1,1.10,1,1.04,1
4,1.69,2,1.31,0
3,2.03,3,1.31,1
3,2.04,0,0.61,1
2,3.35,1,2.02,0
3,1.77,2,2.08,1
1,2.05,0,0.45,0
1,1.07,1,2.09,0
0,1.05,1,1.03,0
0,0.55,4,1.82,1
2,1.06,0,1.79,0
0,0.49,1,0.32,1
1,1.93,0,0.67,1
0,0.79,1,0.79,0
2,1.61,3,1.44,1
2,1.34,2,0.98,0
0,0.25,3,2.96,1
1,1.71,0,1.21,0
0,1.34,2,0.99,1
2,0.73,2,0.78,0
0,0.84,2,2.03,1
1,1.67,5,2.88,1
0,1.39,1,1.21,0
0,0.92,1,1.25,1
1,2.00,1,1.70,0
