GH,XGH,GA,XGA,Side
3,2.27,2,1.99,0
0,0.35,3,2.26,1
2,1.47,0,0.49,0
0,1.10,2,0.74,1
1,1.29,0,0.52,1
1,1.64,0,0.77,0
1,1.51,0,1.42,1
2,0.66,1,1.01,0
1,0.72,2,0.46,1
1,1.40,0,2.36,0
2,1.52,2,1.35,1
2,0.57,1,0.34,0
0,1.14,3,1.59,1
3,1.37,3,2.24,0
2,1.71,1,1.82,1
2,1.95,2,0.71,0
3,1.51,2,1.40,0
2,2.17,1,0.37,1
5,2.04,0,0.10,0
3,2.30,1,0.83,1
4,2.51,0,0.20,0
2,2.65,3,1.51,1
0,0.52,1,1.85,0
1,0.43,1,1.15,1
4,2.30,0,0.18,0
0,1.15,1,0.43,1
1,1.51,0,0.24,0
1,1.16,4,3.13,1
1,0.23,2,1.35,1
2,1.87,3,1.57,0
1,1.71,0,1.21,1
1,1.14,4,1.79,0
2,1.12,0,0.76,0
5,3.33,1,1.35,1
1,1.43,0,0.14,0
1,0.81,1,0.71,1
2,1.12,0,0.36,0
1,0.69,1,1.31,1
