GH,XGH,GA,XGA,Side
0,0.37,0,0.25,1
2,1.25,1,0.72,0
2,1.47,0,0.49,1
3,2.91,2,2.01,0
0,0.79,0,0.98,1
3,2.07,2,1.48,0
2,2.02,1,1.07,1
1,2.19,1,0.34,0
1,1.97,0,0.94,1
0,1.51,0,0.00,0
0,0.67,0,0.16,1
3,1.74,1,1.47,0
1,1.77,0,0.07,1
4,2.36,0,0.72,0
0,0.77,0,1.31,0
3,0.98,0,0.70,1
1,0.64,2,2.51,0
2,1.18,0,0.83,1
1,2.36,2,1.52,0
1,1.57,4,2.19,1
3,1.98,1,0.92,0
5,3.57,1,0.85,1
1,0.53,0,0.41,0
2,1.77,0,0.74,1
3,2.35,2,1.07,0
2,0.75,0,0.23,1
1,0.77,5,3.52,1
1,1.16,4,3.13,0
3,1.49,0,1.04,1
0,0.71,0,0.28,0
1,1.46,1,0.43,1
0,0.87,0,1.11,0
4,2.31,0,0.89,1
0,0.75,0,0.71,0
1,1.67,5,2.88,0
2,2.85,1,2.17,1
1,1.81,1,1.38,0
1,2.10,0,0.12,1
