GH,XGH,GA,XGA,Side
3,2.32,2,1.88,1
3,3.86,0,1.00,0
2,0.45,0,1.11,1
0,0.85,3,1.31,0
0,1.68,0,0.97,0
0,0.45,3,2.09,1
0,1.55,1,1.09,0
0,0.34,7,3.13,1
1,1.97,0,0.94,0
2,1.36,4,2.28,1
1,0.88,0,0.75,0
0,0.69,0,0.52,1
1,0.92,2,1.06,0
3,1.37,3,2.24,1
4,0.94,0,0.33,0
2,0.95,0,0.87,0
3,2.04,0,0.61,0
2,1.12,2,1.67,1
0,0.54,0,0.98,0
2,1.25,0,1.10,1
2,2.97,1,0.17,0
1,0.53,0,0.41,1
2,1.71,1,0.90,1
5,2.38,0,0.33,0
1,1.35,1,0.47,1
5,3.38,0,0.39,0
1,1.86,1,1.69,1
2,1.96,2,1.37,0
1,0.89,0,0.16,1
0,0.54,3,2.62,1
3,2.24,0,0.71,0
2,0.73,2,0.78,1
2,0.34,3,2.67,1
5,3.33,1,1.35,0
2,1.66,1,0.68,1
0,0.75,2,0.68,0
1,0.61,1,2.34,1
1,1.75,0,0.30,0
