GH,XGH,GA,XGA,Side
0,0.38,3,2.32,1
2,0.46,0,0.97,0
0,1.42,2,1.59,1
0,1.10,2,0.74,0
1,0.33,1,1.52,1
0,0.32,0,0.07,0
0,1.34,1,0.83,1
1,1.82,0,0.26,0
1,0.20,2,0.60,1
1,1.27,1,1.06,0
2,1.86,0,1.14,1
6,4.51,0,0.33,0
1,1.13,0,1.18,1
0,0.64,0,0.36,0
4,0.94,0,0.33,1
3,0.98,0,0.70,0
2,1.70,0,0.34,1
1,0.55,1,0.41,0
0,1.38,0,0.16,0
1,2.05,0,0.83,1
0,1.03,2,1.12,1
0,0.91,2,0.42,0
4,3.17,0,0.32,0
0,0.92,3,1.68,1
1,1.29,0,0.70,0
1,1.93,0,0.67,0
0,0.63,0,1.25,1
1,3.27,0,0.58,0
1,0.98,2,1.29,1
2,1.87,3,1.57,1
1,2.85,0,0.08,0
3,1.25,0,0.70,1
3,2.57,1,1.42,0
0,0.75,0,0.71,1
2,1.66,1,0.68,0
0,0.50,3,3.36,1
2,0.87,0,1.40,0
3,1.98,1,0.55,1
