GH,XGH,GA,XGA,Side
0,0.29,1,1.32,0
0,0.32,1,0.55,1
1,1.71,0,0.74,0
0,0.85,3,1.31,1
1,0.33,1,1.52,0
0,2.22,0,0.19,1
2,2.02,1,1.07,0
1,1.55,0,0.76,1
1,0.72,2,0.46,0
1,0.90,2,0.68,1
4,1.89,1,1.53,0
1,1.28,1,1.26,1
2,1.52,0,0.67,0
0,0.23,0,0.34,1
0,0.94,6,4.08,1
2,1.41,0,0.49,0
0,0.78,2,1.03,0
1,0.92,0,1.37,1
0,0.88,1,0.72,0
1,2.05,0,0.45,1
0,0.73,2,1.98,1
1,0.61,1,1.15,0
0,0.91,2,0.42,1
3,2.35,2,1.07,1
1,1.35,1,0.47,0
3,1.72,1,0.39,1
2,1.74,2,1.83,0
4,2.49,0,0.49,0
2,1.34,3,2.60,0
1,1.33,1,0.15,1
2,1.60,1,0.85,1
1,0.89,1,0.58,0
0,0.41,1,0.81,1
0,0.84,2,2.03,0
1,1.43,0,0.14,1
3,2.56,2,0.28,0
4,1.54,1,0.94,1
3,3.51,0,0.71,0
