GH,XGH,GA,XGA,Side
3,1.17,2,1.50,0
3,1.59,1,1.47,1
0,0.92,0,0.40,1
1,1.94,1,0.29,0
1,2.24,0,0.99,1
0,2.22,0,0.19,0
3,1.26,1,0.92,1
2,1.75,0,1.08,0
1,1.42,1,0.58,1
0,0.21,2,1.05,0
1,0.30,1,1.24,1
0,0.69,0,0.52,0
0,1.61,1,1.18,1
1,1.96,2,1.17,0
0,0.77,0,1.31,1
2,1.30,0,0.44,0
1,0.63,0,1.53,1
2,2.17,1,0.37,0
0,1.38,0,0.16,1
1,1.35,1,0.47,0
2,1.34,1,1.07,1
0,0.68,3,3.16,0
2,1.50,0,1.44,1
1,1.49,0,0.41,0
4,2.30,0,0.18,1
2,1.44,1,0.37,0
0,0.79,1,0.79,1
0,0.30,0,1.30,0
2,1.96,2,1.37,1
0,0.84,1,1.68,0
1,0.89,1,0.58,1
4,2.31,0,0.89,0
1,0.80,1,0.57,1
0,0.80,2,2.87,0
2,2.24,2,2.06,1
0,0.31,5,5.07,1
2,2.76,0,0.35,0
3,1.98,1,0.55,0
