GH,XGH,GA,XGA,Side
2,2.25,0,0.19,0
0,0.71,2,1.47,1
3,3.18,0,1.07,0
3,1.33,0,0.25,1
0,0.60,1,0.29,0
0,0.71,2,1.44,1
1,1.76,0,0.03,0
1,1.46,0,0.24,0
1,1.11,0,0.76,1
1,0.62,1,0.35,0
1,0.90,1,0.50,0
1,1.41,1,0.88,1
3,1.48,0,0.39,1
0,1.26,2,0.93,0
2,0.88,1,0.88,1
2,1.54,0,0.25,0
1,2.19,2,0.95,1
1,2.48,0,0.55,0
0,0.86,1,1.14,1
1,1.22,0,0.58,0
1,0.63,1,1.19,1
3,1.96,1,0.18,1
1,1.52,0,0.06,0
0,0.25,2,2.70,1
3,2.20,2,1.16,0
0,0.51,0,0.94,1
0,1.12,1,0.40,0
0,1.54,2,0.98,1
1,0.96,1,1.06,0
1,0.96,1,1.64,1
0,0.75,1,1.24,0
3,1.65,0,1.47,1
3,2.56,0,0.29,0
3,0.79,1,2.02,1
0,0.53,0,0.82,0
2,0.52,2,2.06,1
2,1.53,0,0.81,1
2,2.63,1,0.45,0
