GH,XGH,GA,XGA,Side
1,1.34,1,1.87,0
1,0.71,2,1.53,1
2,1.33,2,1.21,1
3,2.40,2,0.94,0
1,1.73,3,2.15,0
0,0.89,1,0.59,1
2,2.01,2,1.41,0
0,0.70,1,1.41,1
2,3.83,0,0.74,0
1,0.74,0,0.61,1
0,1.07,1,0.60,0
1,0.82,0,0.33,1
2,1.41,1,0.70,0
2,0.92,1,1.13,1
1,0.39,2,1.26,0
2,1.54,0,0.25,1
1,1.17,1,0.95,0
1,2.21,4,3.94,1
2,2.05,1,1.16,0
0,1.49,3,2.26,1
1,0.53,2,1.68,0
1,1.07,0,0.42,1
2,1.44,1,0.62,0
0,1.92,1,0.64,1
0,1.21,2,0.92,0
2,3.34,2,1.39,0
2,1.63,0,0.31,1
0,1.54,2,0.98,0
1,1.33,1,1.56,1
0,0.39,2,0.92,0
1,1.91,1,1.06,1
1,0.44,1,0.77,0
1,2.06,2,1.27,1
1,1.63,1,0.91,0
2,1.74,1,0.47,1
2,2.37,1,1.02,1
0,0.62,2,1.15,0
1,0.46,1,0.61,1
