GH,XGH,GA,XGA,Side
3,2.15,2,0.25,0
1,1.73,0,0.79,1
6,3.20,2,0.34,0
3,2.40,2,0.94,1
0,0.74,0,0.20,0
0,0.91,1,0.73,1
2,3.19,0,0.56,0
1,0.95,1,0.57,0
1,1.46,0,0.24,1
0,1.18,1,0.42,0
0,0.66,0,0.96,1
2,0.99,1,0.80,0
0,2.16,0,0.82,1
3,1.06,1,1.68,0
1,1.85,2,1.35,1
1,0.69,0,1.23,0
2,1.73,0,1.05,1
2,1.72,1,1.28,0
1,2.42,2,2.18,1
2,2.84,0,1.02,0
1,1.22,1,0.64,1
2,2.11,1,0.77,0
1,1.49,0,0.05,1
0,1.07,1,0.28,0
0,0.14,1,2.03,1
0,0.51,0,0.94,0
3,1.42,3,2.21,1
1,1.01,1,1.71,0
1,1.09,2,3.67,1
2,1.81,2,0.94,1
2,2.75,0,0.36,0
0,0.78,1,0.86,1
0,0.26,0,0.49,0
2,2.82,0,0.81,1
2,1.74,1,0.47,0
2,1.06,3,2.92,1
4,2.62,2,0.85,0
2,1.93,1,0.48,1
