GH,XGH,GA,XGA,Side
0,0.09,2,1.33,1
2,1.28,1,0.78,0
2,2.23,1,0.56,1
2,2.65,0,0.45,0
3,0.99,3,1.42,1
1,2.06,3,0.81,0
1,0.89,0,2.01,1
0,0.64,0,0.21,0
3,1.75,0,0.70,1
2,1.88,0,0.82,0
0,1.68,1,1.17,1
1,0.29,1,1.09,0
0,1.51,0,0.30,1
0,0.84,0,0.36,0
2,0.65,2,1.54,1
3,2.49,2,1.93,1
1,0.48,1,0.35,1
1,1.64,0,1.62,0
1,2.31,2,0.40,0
1,1.56,0,0.89,1
1,0.54,0,0.58,0
1,2.13,0,0.19,0
1,2.42,0,0.86,0
2,0.79,1,1.86,1
0,1.38,0,1.29,1
1,2.04,0,0.16,0
1,1.20,2,2.08,1
1,0.76,1,1.57,0
1,1.52,1,0.84,1
0,0.66,0,0.54,0
2,1.53,0,1.53,1
3,2.13,0,0.64,0
2,1.22,1,1.21,0
2,0.92,3,2.44,1
0,0.44,1,0.74,1
1,0.98,0,0.56,0
0,0.60,1,1.76,1
0,1.00,1,1.71,0

