GH,XGH,GA,XGA,Side
1,1.34,2,1.95,0
2,2.96,0,0.23,1
0,1.71,4,1.94,0
0,0.90,2,1.25,1
1,1.30,3,1.55,1
0,1.06,0,0.15,0
0,1.93,3,2.47,1
3,0.75,0,1.05,0
1,0.30,0,0.37,0
1,1.52,2,1.94,1
2,1.31,2,0.48,0
0,1.28,4,2.03,1
2,2.89,0,0.30,0
0,0.84,0,0.36,1
2,0.79,2,2.02,0
2,0.26,1,0.90,1
2,2.99,0,0.49,0
3,2.20,0,0.76,0
1,0.68,1,1.54,1
1,1.56,0,0.89,0
2,1.42,0,1.37,1
1,1.37,0,0.36,0
1,1.22,2,1.27,1
2,0.95,0,0.85,0
0,0.32,1,0.99,1
1,0.76,0,0.28,0
1,0.83,1,2.87,1
0,0.34,4,2.76,1
1,1.21,0,0.42,0
0,0.62,1,0.76,1
1,3.79,3,1.18,0
0,1.32,0,0.21,1
3,1.08,2,0.87,1
1,1.32,0,0.56,0
3,1.74,0,0.35,0
2,1.29,1,2.21,1
4,3.60,0,0.58,0
2,1.04,1,0.40,1

