GH,XGH,GA,XGA,Side
2,1.31,0,0.29,1
1,0.68,0,0.98,0
2,1.24,0,0.39,1
0,1.94,1,0.41,1
2,1.82,2,1.01,0
4,2.18,2,0.80,1
0,1.93,3,2.47,0
1,2.16,1,1.01,1
5,4.44,0,1.63,0
2,1.72,0,1.40,1
1,1.01,2,1.73,0
1,0.29,1,1.09,1
2,1.29,4,1.51,0
1,0.65,0,1.31,1
2,1.00,2,2.54,0
0,1.41,2,1.54,1
3,2.32,0,0.10,1
1,0.92,1,0.41,0
1,1.17,1,1.02,1
2,0.91,2,1.64,0
1,3.05,2,2.24,0
0,0.67,1,1.24,0
2,3.41,1,1.62,1
1,1.54,0,2.46,0
2,1.57,1,1.95,1
2,0.83,0,1.46,0
5,3.78,1,0.45,1
2,0.59,2,3.36,0
3,2.62,2,0.74,1
0,1.34,1,1.92,0
1,3.79,3,1.18,1
2,1.07,1,1.17,0
2,2.89,1,0.45,1
2,0.92,3,2.44,0
2,1.67,2,1.91,1
0,1.21,3,1.62,0
4,3.31,0,0.23,1
2,1.62,3,1.46,0

