GH,XGH,GA,XGA,Side
1,1.34,2,1.95,1
1,1.11,2,0.31,0
0,0.42,0,0.25,1
0,1.02,1,0.47,0
1,0.34,1,0.76,1
1,1.67,0,0.31,1
2,0.81,2,2.03,0
3,2.65,0,0.94,1
1,0.76,1,1.08,0
2,1.88,0,0.82,1
0,1.13,3,1.64,0
3,1.20,0,1.32,1
1,1.17,0,0.27,0
2,2.46,2,1.49,1
1,0.73,2,1.38,0
0,0.83,1,2.02,1
1,0.92,1,0.41,1
2,1.66,0,0.95,0
1,0.68,1,1.54,0
0,0.77,0,0.34,0
2,1.20,0,0.28,1
1,0.49,1,0.73,0
2,1.60,2,1.60,1
0,1.05,0,0.65,0
5,3.81,1,1.02,0
2,1.49,4,1.98,1
1,1.20,2,2.08,0
2,1.13,2,1.09,1
3,2.62,2,0.74,0
2,2.22,0,0.49,1
1,1.39,0,0.59,0
2,2.02,1,0.21,1
1,0.30,3,2.33,0
3,2.01,2,1.62,1
1,0.56,1,0.18,1
0,0.77,1,1.54,0
1,0.51,1,0.73,1
1,1.35,0,0.48,0

