GH,XGH,GA,XGA,Side
3,2.62,4,1.21,0
3,1.63,1,0.97,1
1,2.72,0,0.49,0
2,1.18,4,2.55,1
3,0.99,3,1.42,0
1,1.71,1,0.78,0
0,0.92,0,0.36,1
3,2.65,0,0.94,0
0,0.76,0,1.48,1
2,1.72,0,1.40,0
1,1.32,1,1.22,1
0,1.28,4,2.03,0
0,1.01,1,1.11,1
0,0.73,1,1.10,0
3,2.02,0,0.74,1
1,0.78,2,2.57,0
2,1.21,3,0.80,1
4,3.07,0,0.72,0
1,0.80,0,0.55,1
0,0.85,1,1.07,1
3,1.76,1,1.58,1
2,1.72,0,0.69,0
1,0.49,1,0.73,1
2,1.83,4,1.85,0
2,0.95,0,0.85,1
3,3.96,0,0.66,0
2,2.31,1,0.76,0
2,2.36,2,0.55,1
2,2.20,1,1.66,0
2,1.08,0,0.19,1
3,1.45,1,0.82,1
2,1.26,1,1.00,0
2,1.22,1,1.21,1
5,2.44,0,0.92,0
0,0.37,3,1.84,0
1,1.59,0,0.62,1
2,2.25,2,2.28,0
2,1.62,3,1.46,1

