GH,XGH,GA,XGA,Side
3,3.35,0,0.19,1
1,1.35,3,2.62,0
3,2.03,1,1.51,1
2,1.18,4,2.55,0
4,2.64,0,0.89,1
1,1.29,3,1.57,0
4,3.65,1,0.33,1
0,0.35,3,3.20,0
5,4.44,0,1.63,1
5,2.50,0,0.57,1
0,0.48,2,1.47,0
2,2.34,1,0.93,1
0,1.15,4,3.96,0
1,1.72,0,0.56,1
2,0.65,2,1.54,0
1,0.99,1,2.34,0
1,2.40,0,0.47,1
0,0.28,3,2.45,0
9,5.86,0,0.03,1
4,2.86,1,1.00,1
2,3.41,1,1.62,0
1,2.42,0,0.86,1
0,0.57,1,1.26,0
5,3.81,1,1.02,1
3,3.96,0,0.66,1
1,0.71,2,4.04,0
0,0.34,4,2.76,0
3,1.24,1,0.19,1
0,1.15,1,1.22,0
2,2.68,2,0.62,1
5,1.99,1,1.28,0
3,1.99,2,0.61,0
3,2.55,1,0.93,1
3,2.01,2,1.62,0
1,2.56,1,1.07,1
1,2.03,2,1.21,0
4,3.60,0,0.58,1
3,0.86,1,1.42,0

