GH,XGH,GA,XGA,Side
0,0.09,2,1.33,0
1,0.63,1,0.33,1
2,1.24,0,0.39,0
2,1.43,3,1.30,1
1,0.34,1,0.76,0
3,1.07,1,0.67,1
3,1.28,2,0.81,0
3,0.75,0,1.05,1
2,2.16,2,1.30,0
2,0.82,1,1.36,1
1,1.21,1,1.34,0
1,1.11,1,1.11,1
0,1.31,0,0.14,0
0,0.73,1,1.10,1
1,0.58,4,3.48,0
1,0.99,1,2.34,1
2,1.20,2,0.27,1
2,0.77,1,0.49,0
2,2.17,0,1.56,1
1,1.50,2,1.59,0
1,0.92,5,1.62,0
1,0.54,0,0.58,1
1,1.12,2,0.75,1
2,1.74,1,0.84,0
0,0.53,0,0.63,0
1,0.39,1,1.16,1
1,1.38,0,0.39,0
2,0.59,2,3.36,1
2,2.36,2,0.55,0
4,2.47,0,1.00,1
2,2.68,2,0.62,0
3,1.68,3,2.27,1
1,0.30,3,2.33,1
0,0.50,0,0.33,0
1,1.29,1,1.80,1
2,1.29,1,2.21,0
0,1.62,2,0.91,1
0,1.40,1,0.89,0

