GH,XGH,GA,XGA,Side
1,1.08,1,0.85,0
1,3.01,2,0.62,1
2,1.52,0,0.49,0
1,0.78,2,1.30,1
1,1.30,4,3.32,0
1,0.96,0,2.01,0
2,1.52,2,2.72,1
0,0.46,4,1.50,0
1,1.93,1,0.50,1
4,2.21,2,1.38,0
1,2.58,1,0.35,1
3,1.45,3,2.71,0
0,2.27,4,2.81,1
0,0.58,2,0.98,1
0,0.23,0,0.67,0
1,0.70,3,1.31,1
5,3.19,0,0.98,0
2,1.88,1,1.81,1
2,0.90,2,1.08,0
2,1.68,1,0.56,1
2,1.86,1,1.84,0
1,1.92,2,1.20,1
1,1.42,1,0.35,0
1,1.35,2,2.42,1
1,1.30,2,1.52,1
2,1.31,0,0.54,0
1,0.98,1,0.67,1
3,2.32,1,1.09,0
1,0.37,3,4.45,1
2,2.56,0,1.61,0
0,0.52,3,1.05,1
1,2.13,3,2.16,0
1,0.96,0,0.40,0
4,2.09,0,0.99,1
1,0.41,1,1.82,0
0,1.45,1,1.73,1
0,0.33,1,1.01,0
4,1.21,3,0.55,1
