GH,XGH,GA,XGA,Side
1,1.09,0,0.44,1
3,1.55,0,0.15,0
2,2.04,2,2.58,1
3,2.23,0,0.01,0
1,1.13,1,0.88,1
1,0.84,1,2.09,0
2,1.00,1,1.13,0
0,0.65,1,2.07,1
2,2.94,0,0.17,0
1,0.90,1,0.65,1
2,1.27,1,0.83,0
1,1.01,1,1.41,1
0,1.06,3,2.71,1
3,3.61,2,0.43,0
1,0.15,4,2.03,1
1,1.76,1,0.95,0
1,0.47,4,1.78,1
2,1.88,1,1.81,0
2,2.68,3,1.54,1
1,1.00,2,0.76,0
2,0.97,1,0.28,1
2,1.46,0,0.63,0
2,1.06,2,2.24,1
2,1.25,0,0.49,0
1,1.26,0,0.38,1
0,0.05,0,0.28,1
1,1.24,1,0.31,0
0,0.23,1,1.03,1
3,1.42,3,1.06,0
0,0.48,1,1.81,1
0,1.20,0,0.17,0
3,3.41,1,1.25,0
2,2.63,2,1.41,1
3,3.31,1,0.91,0
2,2.50,3,1.24,1
3,1.92,2,0.51,0
0,0.33,1,1.01,1
5,4.01,0,0.24,0
