GH,XGH,GA,XGA,Side
0,0.50,1,2.37,1
0,2.21,1,0.67,0
2,1.35,3,0.93,1
2,1.78,1,0.27,0
1,0.84,1,1.67,1
2,1.60,0,0.55,0
3,1.39,0,0.32,0
1,1.20,2,2.38,1
1,1.43,0,0.44,0
0,0.42,0,0.45,1
2,1.27,1,0.83,1
1,0.40,1,1.38,0
0,0.34,0,0.56,1
0,0.58,2,0.98,0
0,0.83,2,1.32,1
0,0.96,1,0.74,0
0,0.79,0,0.24,1
1,0.94,1,1.03,0
1,1.53,2,1.95,1
2,2.34,0,0.63,0
1,0.59,2,1.57,1
0,0.74,1,1.72,0
2,0.75,1,0.84,1
3,2.17,0,0.29,0
0,0.51,0,0.96,1
0,0.70,0,0.72,1
0,1.10,2,1.28,0
1,1.79,0,1.26,1
1,1.47,0,0.64,0
0,0.48,1,1.81,0
1,1.00,1,0.22,1
1,1.88,1,0.20,0
1,0.96,0,0.40,1
0,0.90,0,0.86,0
2,2.00,2,2.08,1
2,2.88,0,0.18,0
1,0.98,1,0.76,1
3,2.21,0,0.66,0
