GH,XGH,GA,XGA,Side
0,1.10,0,1.31,0
7,3.97,0,0.48,1
1,0.58,1,0.48,0
2,1.81,0,0.42,1
1,1.30,4,3.32,1
3,2.12,0,0.62,0
2,1.55,2,1.10,1
0,0.65,1,2.07,0
1,2.32,0,0.53,1
2,1.68,0,0.53,0
2,2.06,2,2.15,1
1,0.83,1,0.76,0
4,1.98,2,0.72,0
1,1.37,2,1.49,1
0,0.83,2,1.32,0
2,1.07,2,0.26,1
1,1.64,1,1.07,0
3,2.43,1,1.64,1
0,0.75,0,0.96,0
0,0.47,1,1.07,1
3,1.33,1,1.30,0
3,0.86,0,1.03,1
1,0.73,4,1.96,0
1,1.35,2,2.42,0
0,0.61,1,0.69,1
2,1.46,2,1.48,0
1,1.24,1,0.31,1
1,1.42,0,0.40,0
1,1.06,1,0.54,1
0,1.47,3,2.38,0
0,1.50,0,0.17,1
2,1.31,1,0.47,1
1,0.59,2,2.27,0
0,0.90,0,0.86,1
1,1.30,2,2.23,0
1,1.95,2,1.82,1
3,2.09,2,2.04,0
4,3.07,3,2.04,1
