GH,XGH,GA,XGA,Side
1,1.09,0,0.44,0
4,1.43,5,3.78,1
2,1.35,3,0.93,0
1,0.33,2,0.83,1
4,1.06,2,1.86,0
1,1.20,2,1.77,1
1,1.37,0,0.31,0
1,0.76,3,1.64,1
1,1.33,0,0.69,0
2,1.68,0,0.53,1
7,2.12,0,0.14,0
0,0.81,2,0.85,1
2,1.44,1,1.41,0
1,1.34,2,1.78,1
0,0.23,0,0.67,1
2,2.61,0,0.10,0
1,1.01,0,2.82,1
3,2.47,1,0.47,0
0,0.93,2,2.60,1
1,1.00,2,0.76,1
3,2.05,1,1.38,0
0,0.74,1,1.72,1
0,1.41,0,0.11,0
0,0.56,0,0.22,1
4,2.42,1,0.34,0
0,0.74,2,1.71,1
1,1.06,1,0.54,0
1,1.22,0,0.54,1
1,0.32,0,0.91,1
2,2.78,0,0.60,0
2,1.07,2,1.03,0
1,1.12,0,1.80,1
4,1.87,0,0.41,0
4,2.09,0,0.99,0
2,1.30,2,1.45,1
3,1.95,0,1.17,0
2,1.10,2,1.42,1
2,1.39,2,1.02,0
