GH,XGH,GA,XGA,Side
1,0.92,1,0.80,0
2,0.42,0,0.39,1
0,0.66,0,0.65,0
2,1.78,1,0.27,1
0,0.20,1,0.25,0
1,1.31,0,0.59,1
2,1.52,2,2.72,0
0,1.22,0,1.23,1
1,2.32,0,0.53,0
3,1.87,1,1.45,1
2,2.21,2,1.09,1
1,1.01,1,1.41,0
1,0.86,1,0.90,1
1,1.57,3,2.98,0
1,1.64,1,0.25,0
2,1.18,2,1.49,1
3,2.03,0,0.05,0
1,0.99,0,0.33,1
0,0.93,2,2.60,0
1,1.16,1,0.99,1
5,3.50,1,0.47,0
1,1.20,1,1.77,1
2,0.75,1,0.84,0
1,1.52,1,2.44,1
1,1.84,2,2.13,0
2,1.31,0,0.54,1
0,1.81,2,1.14,0
1,1.42,0,0.40,1
2,2.26,0,0.51,0
1,1.23,1,0.56,0
0,1.20,0,0.17,1
4,2.35,2,0.27,0
1,1.52,1,1.02,1
0,0.91,1,1.15,1
1,1.90,4,4.31,0
0,1.12,1,1.03,1
1,1.66,1,0.50,0
2,1.39,2,1.02,1
