GH,XGH,GA,XGA,Side
0,0.88,0,0.73,0
2,2.10,1,1.39,1
0,2.62,1,1.22,0
2,1.83,2,1.62,1
2,2.69,0,0.35,0
1,0.96,0,2.01,1
1,1.53,3,2.18,1
6,4.61,2,0.80,0
1,1.75,1,0.89,1
1,0.90,1,0.65,0
2,2.06,2,2.15,0
1,1.15,2,2.85,1
2,1.47,1,0.66,0
1,1.57,3,2.98,1
1,0.81,2,0.83,0
0,0.96,1,0.74,1
0,1.40,0,0.94,0
3,2.47,1,0.47,1
4,1.46,0,0.11,0
1,2.22,0,0.72,1
2,1.36,1,0.47,0
1,0.68,3,1.60,1
5,1.44,2,1.07,0
1,0.68,1,0.71,1
1,1.30,2,1.52,0
2,2.17,2,1.55,0
2,1.73,0,0.60,1
2,1.72,0,0.14,0
3,1.42,3,1.06,1
0,1.47,3,2.38,1
0,1.66,1,1.57,0
3,1.76,2,2.08,1
1,1.52,1,1.02,0
0,0.82,1,2.75,1
2,2.00,2,2.08,0
2,1.19,1,1.21,1
2,1.10,2,1.42,0
2,1.30,2,1.99,1
