GH,XGH,GA,XGA,Side
1,1.04,0,0.38,0
2,3.16,0,0.84,1
2,1.26,2,1.32,0
1,0.92,1,0.75,1
0,0.72,1,0.69,0
2,2.03,1,0.78,1
3,3.24,0,0.48,0
3,2.24,0,1.03,1
2,3.14,0,0.11,0
2,0.41,1,0.19,1
3,1.38,0,1.25,0
0,0.44,0,1.29,0
0,0.90,1,1.55,1
0,0.90,2,1.34,0
3,1.52,0,0.85,1
1,1.56,0,0.11,0
1,0.80,3,3.82,1
2,1.91,1,1.10,0
0,0.66,2,1.30,1
1,1.69,1,0.72,1
0,0.80,0,0.98,0
1,1.13,1,0.91,1
2,1.54,1,1.36,0
0,0.98,0,0.59,1
0,0.92,0,0.22,0
2,2.03,3,1.94,1
1,1.44,1,0.95,0
0,0.66,2,1.17,1
2,1.44,0,0.78,0
2,3.92,0,0.38,1
2,1.34,1,1.52,1
2,0.87,1,0.99,0
3,2.49,3,2.11,1
2,2.65,2,2.25,0
1,0.94,0,0.35,1
2,2.53,1,0.17,0
1,1.12,1,0.27,1
1,2.56,2,1.35,0
