GH,XGH,GA,XGA,Side
5,1.41,2,2.67,0
1,0.87,2,3.03,1
2,1.32,2,0.91,0
0,1.50,1,0.42,1
0,0.36,0,1.17,1
5,3.47,1,1.52,0
2,0.88,1,1.21,1
3,2.24,0,1.03,0
1,0.82,2,1.97,1
2,1.00,1,0.64,0
0,1.25,0,0.53,1
1,1.38,0,0.27,0
1,0.95,2,0.54,1
1,0.67,2,2.06,0
0,0.41,0,0.86,1
3,1.76,0,1.40,0
2,1.00,3,1.67,1
0,0.45,0,0.19,0
2,1.50,1,0.33,1
2,1.34,1,2.31,1
1,2.22,1,0.69,0
1,1.19,1,0.98,1
2,0.63,1,0.96,0
1,2.27,0,0.08,0
1,0.87,3,2.29,1
0,1.24,0,0.30,0
1,1.44,1,0.95,1
0,1.16,0,0.29,0
2,1.78,1,1.27,1
1,0.69,2,1.25,0
1,1.40,3,1.81,1
1,1.23,0,0.72,0
4,3.16,1,1.38,1
0,1.03,0,0.26,0
1,1.70,0,0.70,1
2,0.98,0,0.51,0
1,3.44,3,1.98,1
1,1.29,2,1.76,0
